행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단 (전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단 (전체)
1101054,종로구,삼청동,2 ,30 ,93 ,41 ,5 ,5 ,8 ,6 ,4 ,4 ,8 ,3 ,2 ,4 
1101054,종로구,삼청동,2 ,35 ,112 ,52 ,2 ,4 ,2 ,4 ,0 ,6 ,7 ,4 ,4 ,0 
1101054,종로구,삼청동,2 ,40 ,97 ,29 ,1 ,5 ,3 ,3 ,3 ,1 ,3 ,1 ,4 ,0 
1101054,종로구,삼청동,2 ,45 ,116 ,35 ,3 ,4 ,1 ,3 ,0 ,2 ,1 ,5 ,3 ,0 
1101054,종로구,삼청동,2 ,50 ,132 ,34 ,6 ,4 ,3 ,3 ,3 ,1 ,4 ,7 ,4 ,3 
1101054,종로구,삼청동,2 ,55 ,142 ,40 ,3 ,9 ,4 ,4 ,0 ,1 ,6 ,6 ,6 ,0 
1101054,종로구,삼청동,2 ,60 ,113 ,31 ,1 ,7 ,3 ,4 ,0 ,1 ,5 ,4 ,2 ,0 
1101054,종로구,삼청동,2 ,65 ,86 ,22 ,0 ,2 ,2 ,1 ,0 ,0 ,1 ,1 ,4 ,0 
1101054,종로구,삼청동,2 ,70 ,74 ,19 ,2 ,6 ,0 ,7 ,0 ,0 ,5 ,2 ,1 ,3 
1101054,종로구,삼청동,2 ,75 ,148 ,57 ,0 ,1 ,1 ,2 ,3 ,0 ,0 ,0 ,2 ,0 
1101055,종로구,부암동,1 ,20 ,599 ,96 ,11 ,11 ,15 ,10 ,21 ,12 ,19 ,9 ,4 ,15 
1101055,종로구,부암동,1 ,25 ,393 ,72 ,10 ,9 ,4 ,7 ,11 ,12 ,9 ,8 ,8 ,14 
1101055,종로구,부암동,1 ,30 ,348 ,91 ,9 ,7 ,7 ,7 ,9 ,20 ,7 ,7 ,5 ,9 
1101055,종로구,부암동,1 ,35 ,316 ,78 ,12 ,8 ,5 ,7 ,5 ,16 ,11 ,8 ,5 ,5 
1101055,종로구,부암동,1 ,40 ,434 ,53 ,9 ,4 ,4 ,3 ,8 ,9 ,5 ,3 ,6 ,10 
1101055,종로구,부암동,1 ,45 ,422 ,48 ,8 ,4 ,2 ,3 ,5 ,8 ,4 ,4 ,3 ,3 
1101055,종로구,부암동,1 ,50 ,431 ,39 ,4 ,2 ,1 ,3 ,16 ,6 ,3 ,4 ,6 ,7 
1101055,종로구,부암동,1 ,55 ,394 ,35 ,2 ,2 ,2 ,1 ,8 ,5 ,1 ,2 ,2 ,10 
1101055,종로구,부암동,1 ,60 ,293 ,30 ,4 ,1 ,2 ,2 ,5 ,3 ,3 ,3 ,2 ,3 
1101055,종로구,부암동,1 ,65 ,215 ,46 ,2 ,3 ,6 ,3 ,8 ,1 ,3 ,1 ,6 ,6 
1101055,종로구,부암동,1 ,70 ,170 ,40 ,4 ,3 ,0 ,3 ,8 ,1 ,4 ,1 ,4 ,4 
1101055,종로구,부암동,1 ,75 ,285 ,72 ,1 ,0 ,3 ,0 ,2 ,1 ,1 ,1 ,1 ,0 
1101055,종로구,부암동,2 ,20 ,548 ,105 ,9 ,6 ,6 ,4 ,5 ,13 ,3 ,8 ,2 ,5 
1101055,종로구,부암동,2 ,25 ,448 ,82 ,9 ,4 ,5 ,4 ,5 ,14 ,6 ,12 ,5 ,10 
1101055,종로구,부암동,2 ,30 ,363 ,90 ,6 ,5 ,7 ,3 ,0 ,19 ,5 ,8 ,6 ,3 
1101055,종로구,부암동,2 ,35 ,336 ,76 ,6 ,7 ,2 ,3 ,2 ,10 ,6 ,7 ,4 ,2 
1101055,종로구,부암동,2 ,40 ,465 ,52 ,5 ,4 ,2 ,3 ,7 ,8 ,4 ,5 ,2 ,5 
1101055,종로구,부암동,2 ,45 ,543 ,63 ,5 ,6 ,4 ,5 ,6 ,7 ,6 ,6 ,2 ,9 
1101055,종로구,부암동,2 ,50 ,482 ,46 ,4 ,4 ,1 ,2 ,0 ,4 ,2 ,4 ,7 ,2 
1101055,종로구,부암동,2 ,55 ,441 ,43 ,4 ,3 ,1 ,2 ,7 ,3 ,3 ,4 ,4 ,2 
1101055,종로구,부암동,2 ,60 ,318 ,33 ,2 ,3 ,2 ,3 ,6 ,2 ,3 ,3 ,1 ,8 
1101055,종로구,부암동,2 ,65 ,266 ,69 ,5 ,5 ,4 ,2 ,2 ,1 ,3 ,5 ,7 ,0 
1101055,종로구,부암동,2 ,70 ,209 ,53 ,7 ,3 ,0 ,1 ,2 ,0 ,3 ,2 ,2 ,0 
1101055,종로구,부암동,2 ,75 ,397 ,118 ,1 ,1 ,2 ,2 ,5 ,1 ,1 ,3 ,7 ,0 
1101056,종로구,평창동,1 ,20 ,663 ,69 ,8 ,3 ,6 ,6 ,10 ,16 ,7 ,5 ,5 ,10 
